Clusters,Inertia,Silhouette Score,Davies-Bouldin Index
2,588.8026767824937,0.2518152915788437,1.613751463313486
3,476.78755441351586,0.25951265087431563,1.3574082452348044
4,388.71786140538444,0.2983972818544038,1.2806535165974404
5,331.3098837641086,0.3040600988258827,1.1672300848200368
6,276.4117595313096,0.33107393337175933,1.0176669066561004
7,236.20494707086885,0.3573771582429211,0.9801575795056797
8,199.75046112065576,0.3879927454351689,0.9445296551832487
9,174.23547730691476,0.4030916511655521,0.8749518885096795
10,152.02983429775688,0.42076374869477745,0.8331029646644401
